Running all tests
[UnitTestFramework] UTFTests.js .......... Pass
[Array] array_fastinit.js .......... Pass
[Array] array_init.js .......... Pass
[Array] array_init2.js .......... Pass
[Array] SpliceBtreeMemoryCorruption.js .......... Fail
[Array] sliceArrayForceBtreeBug616623.js .......... Fail
[Array] bug945376SegLeftPlusSizeGreaterThanMaxArrayLen.js .......... Skip (Takes too long)
[Array] bug1062870.js .......... Pass
[Array] bug1065362.js .......... Skip (Takes too long)
[Array] bug4916987.js .......... Fail
[Array] ArrayBtreeBadCodeGen.js .......... Pass
[Array] SliceandConcatAlterOriginalArrayBug.js .......... Fail
[Array] rawLastUsedSegmentBugInFloatArray.js .......... Pass
[Array] ArrayElementMissingValueSetToZero.js .......... Pass
[Array] TryGrowHeadSegmentBug.js .......... Pass
[Array] array_init2.js .......... Pass
[Array] array_ctr.js .......... Fail
[Array] array_ctr.js .......... Fail
[Array] arr_bailout.js .......... Fail
[Array] concat1.js .......... Pass
[Array] concat2.js .......... Skip (Takes too long)
[Array] delete.js .......... Pass
[Array] es5array_push.js .......... Pass
[Array] ldindex.js .......... Fail
[Array] bug612012.js .......... Pass
[Array] SegmentMapFlagResetInJSArrayConstructor.js .......... Pass
[Array] LastUsedSegmentHasNULLElement.js .......... Fail
[Array] array_length.js .......... Fail
[Array] join2.js .......... Fail
[Array] missing.js .......... Pass
[Array] pop1.js .......... Pass
[Array] pop2.js .......... Pass
[Array] pop3.js .......... Pass
[Array] push1.js .......... Pass
[Array] push2.js .......... Fail
[Array] push3.js .......... Fail
[Array] reverse1.js .......... Pass
[Array] reverse2.js .......... Pass
[Array] shift_unshift.js .......... Fail
[Array] toString.js .......... Pass
[Array] toString.js .......... Pass
[Array] toLocaleString.js .......... Fail
[Array] toLocaleString.js .......... Fail
[Array] array_slice.js .......... Pass
[Array] array_slice2.js .......... Skip (Takes too long)
[Array] array_sort.js .......... Fail
[Array] array_includes.js .......... Fail
[Array] array_sort2.js .......... Pass
[Array] array_sort3.js .......... Fail
[Array] array_sort3.js .......... Fail
[Array] array_splice.js .......... Skip (Takes too long)
[Array] array_splice_double.js .......... Skip (Takes too long)
[Array] array_splice.js .......... Skip (Takes too long)
[Array] array_splice1.js .......... Pass
[Array] array_splice2.js .......... Fail
[Array] array_splice3.js .......... Pass
[Array] array_splice4.js .......... Pass
[Array] sparsearray.js .......... Pass
[Array] array_lastindexof.js .......... Pass
[Array] array_indexOf.js .......... Pass
[Array] array_indexOf.js .......... Pass
[Array] array_indexOfSparse.js .......... Pass
[Array] negindex.js .......... Pass
[Array] array_forin.js .......... Pass
[Array] array_literal.js .......... Pass
[Array] array_literal.js .......... Pass
[Array] nativearray_gen1.js .......... Pass
[Array] nativearray_gen1.js .......... Pass
[Array] nativearray_gen2.js .......... Pass
[Array] nativearray_gen3.js .......... Pass
[Array] nativearray_gen4.js .......... Pass
[Array] nativearray_gen5.js .......... Pass
[Array] nativearray_gen6.js .......... Pass
[Array] nativearray_gen7.js .......... Pass
[Array] nativearray_gen8.js .......... Pass
[Array] arrlit.js .......... Pass
[Array] protoLookup.js .......... Fail
[Array] protoLookup_native.js .......... Fail
[Array] protoLookupWithGetters.js .......... Fail
[Array] array_apply.js .......... Pass
[Array] nativeArrayPushInlining.js .......... Pass
[Array] reverse_native.js .......... Pass
[Array] nativeFloatArray_shift_unshift.js .......... Pass
[Array] nativeFloatArray_sort.js .......... Pass
[Array] missingItemFastPathCheck.js .......... Pass
[Array] array_opts.js .......... Fail
[Array] nativeIntPop.js .......... Pass
[Array] nativeFloatPop.js .......... Pass
[Array] popImplicitCall.js .......... Fail
[Array] array_splice_515632.js .......... Fail
[Array] InlineArrayPopWithIntConstSrc.js .......... Pass
[Array] FailToSetLength.js .......... Fail
[Array] foreach_nativearray_change.js .......... Pass
[Array] newfromargs.js .......... Pass
[Array] bug945376SizeBoundStartSeg.js .......... Skip (Takes too long)
[Array] CopyOnAccessArray_bugs.js .......... Fail
[Array] CopyOnAccessArray_cache_index_overflow.js .......... Fail
[Array] memop_lifetime_bug.js .......... Fail
[Array] memset.js .......... Fail
[Array] memset_invariant.js .......... Fail
[Array] memset2.js .......... Fail
[Array] memcopy.js .......... Fail
[Array] memop_alias.js .......... Fail
[Array] memop_field.js .......... Fail
[Array] memop_slot.js .......... Fail
[Array] memop_bounds_check.js .......... Fail
[Array] bug4587739.js .......... Fail
[Basics] Array.js .......... Pass
[Basics] ie12ScriptFunctionToStrings.js .......... Fail
[Basics] DomProperties.js .......... Pass
[Basics] ArrayConcat.js .......... Pass
[Basics] arrayinit.js .......... Pass
[Basics] IdsWithEscapes.js .......... Fail
[Basics] ArrayResize.js .......... Pass
[Basics] DirectCall.js .......... Pass
[Basics] equal.js .......... Pass
[Basics] equal_object.js .......... Pass
[Basics] label1.js .......... Fail
[Basics] label1.js .......... Fail
[Basics] label2.js .......... Fail
[Basics] label2.js .......... Fail
[Basics] label3.js .......... Fail
[Basics] label3.js .......... Fail
[Basics] label4.js .......... Fail
[Basics] label4.js .......... Fail
[Basics] label5.js .......... Fail
[Basics] label5.js .......... Fail
[Basics] label6.js .......... Fail
[Basics] label6.js .......... Fail
[Basics] Length.js .......... Pass
[Basics] Logical.js .......... Pass
[Basics] ParameterOrder.js .......... Pass
[Basics] Parameters.js .......... Pass
[Basics] StringCharCodeAt.js .......... Pass
[Basics] StringField.js .......... Pass
[Basics] StringFromCharCode.js .......... Pass
[Basics] StringSubstring.js .......... Pass
[Basics] switch.js .......... Fail
[Basics] Switch2.js .......... Pass
[Basics] typeof.js .......... Pass
[Basics] typeofcombi.js .......... Pass
[Basics] TypePromotion.js .......... Pass
[Basics] UndefinedVsNull.js .......... Pass
[Basics] With.js .......... Fail
[Basics] withBug940841.js .......... Pass
[Basics] withBug940841_2.js .......... Pass
[Basics] With2.js .......... Pass
[Basics] witheval.js .......... Pass
[Basics] TernaryOperator.js .......... Pass
[Basics] DeleteProperty1.js .......... Fail
[Basics] Accessors.js .......... Pass
[Basics] DefProp.js .......... Pass
[Basics] scopedaccessors.js .......... Fail
[Basics] flags.js .......... Fail
[Basics] Branching.js .......... Pass
[Basics] inlinecache.js .......... Pass
[Basics] scan.js .......... Fail
[Basics] enum.js .......... Fail
[Basics] with3.js .......... Pass
[Basics] Enumerator-deprecated.js .......... Fail
[Basics] Enumerator-WebViewHost.js .......... Fail
[Basics] cross_site_accessor_main.js .......... Fail
[Basics] bug650104.js .......... Fail
[es5] reservedWords.js .......... Pass
[es5] Lex_u3.js .......... Fail
[es5] array_every.js .......... Pass
[es5] array_some.js .......... Pass
[es5] array_forEach.js .......... Pass
[es5] array_map.js .......... Pass
[es5] array_filter.js .......... Pass
[es5] array_reduce.js .......... Pass
[es5] array_reduceright.js .......... Pass
[es5] DateGetSet9.js .......... Fail
[es5] jx2.js .......... Fail
[es5] SemiCollonAfterBlockEs5.js .......... Fail
[es5] exceptions.js .......... Fail
[es5] ObjLitGetSet.js .......... Fail
[es5] ObjLitGetSetParseOnly.js .......... Fail
[es5] ObjLitGetSetParseOnly.js .......... Fail
[es5] ObjLitInitFld.js .......... Pass
[es5] seal.js .......... Pass
[es5] freeze.js .......... Pass
[es5] extensible.js .......... Fail
[es5] array_length.js .......... Fail
[es5] array_length.js .......... Fail
[es5] ES5ArrayIndexList.js .......... Skip (Takes too long (and Slowdown))
[es5] createdp.js .......... Pass
[es5] defineProperty.js .......... Fail
[es5] defineProperty.js .......... Fail
[es5] defineIndexProperty.js .......... Fail
[es5] defineIndexProperty.js .......... Fail
[es5] enumerable.js .......... Fail
[es5] hasItem.js .......... Fail
[es5] regexSpace.js .......... Pass
[es5] EnumeratingWithES5.js .......... Fail
[es5] InsufficientArguments.js .......... Pass
[es5] recursivesetter.js .......... Pass
[es5] valueof.js .......... Fail
[es5] tostring_override.js .......... Pass
[es5] valueof_override.js .......... Fail
[es5] tostring_override.js .......... Pass
[es5] valueof_override.js .......... Fail
[es5] TypeConversions.js .......... Fail
[es5] RegExpStrictDelete.js .......... Fail
[es5] settersArguments.js .......... Fail
[es5] settersArguments.js .......... Fail
[es5] augmentPrimitive.js .......... Pass
[es5] setget.js .......... Pass
[es5] es5array_objproto.js .......... Pass
[es5] es5array_arrayproto.js .......... Pass
[es5] es5array_arrayproto_opt.js .......... Pass
[es5] es5array_arrayproto_crosssite.js .......... Fail
[es5] es5array_protoarr.js .......... Pass
[es5] es5array_protoobj.js .......... Pass
[es5] es5array_protoobj_crosssite.js .......... Fail
[es5] es5array_replaceprotoarr.js .......... Pass
[es5] es5array_replaceprotoobj.js .......... Pass
[es5] resetproperty.js .......... Fail
[es5] es5array_enum_edit.js .......... Pass
[EH] capture.js .......... Fail
[EH] capture.js .......... Fail
[EH] capture.js .......... Fail
[EH] oos2.js .......... Skip (Takes too long (and Slowdown))
[EH] try1.js .......... Pass
[EH] try2.js .......... Fail
[EH] try3.js .......... Pass
[EH] try4.js .......... Pass
[EH] try5-ES3.js .......... Pass
[EH] try6.js .......... Fail
[EH] try.bug188541.js .......... Pass
[EH] try.bug188541.v5.js .......... Fail
[EH] so.js .......... Skip (Takes too long (and Slowdown))
[EH] newso.js .......... Skip (Takes too long (and Slowdown))
[EH] trylabel.js .......... Pass
[EH] alignment.js .......... Fail
[EH] 101832.js .......... Fail
[InlineCaches] t0.js .......... Pass
[InlineCaches] t1.js .......... Pass
[InlineCaches] t2.js .......... Pass
[InlineCaches] t3.js .......... Pass
[InlineCaches] t4.js .......... Pass
[InlineCaches] t5.js .......... Pass
[InlineCaches] test6.js .......... Pass
[InlineCaches] TypePropertyCache_CrossContext.js .......... Fail
[InlineCaches] getter_sideeffect.js .......... Pass
[InlineCaches] prototypeChainModifications.js .......... Skip (Takes too long)
[InlineCaches] inlnieLocalCacheWithoutProperty.js .......... Pass
[InlineCaches] writable1.js .......... Pass
[InlineCaches] writable2.js .......... Pass
[InlineCaches] writable3.js .......... Pass
[InlineCaches] BigDictionaryTypeHandler.js .......... Pass
[InlineCaches] addFldFastPath.js .......... Pass
[InlineCaches] MissingPropertyCache1.js .......... Pass
[InlineCaches] MissingPropertyCache2.js .......... Pass
[InlineCaches] MissingPropertyCache3.js .......... Pass
[InlineCaches] instanceOfCacheCrossRegistration.js .......... Pass
[InlineCaches] bug_vso_os_1206083.js .......... Fail
[LetConst] Skipping whole directory (Not in scope)
[Basics] Array.js .......... Pass
[Basics] ie12ScriptFunctionToStrings.js .......... Fail
[Basics] DomProperties.js .......... Pass
[Basics] ArrayConcat.js .......... Pass
[Basics] arrayinit.js .......... Pass
[Basics] IdsWithEscapes.js .......... Fail
[Basics] ArrayResize.js .......... Pass
[Basics] DirectCall.js .......... Pass
[Basics] equal.js .......... Pass
[Basics] equal_object.js .......... Pass
[Basics] label1.js .......... Fail
[Basics] label1.js .......... Fail
[Basics] label2.js .......... Fail
[Basics] label2.js .......... Fail
[Basics] label3.js .......... Fail
[Basics] label3.js .......... Fail
[Basics] label4.js .......... Fail
[Basics] label4.js .......... Fail
[Basics] label5.js .......... Fail
[Basics] label5.js .......... Fail
[Basics] label6.js .......... Fail
[Basics] label6.js .......... Fail
[Basics] Length.js .......... Pass
[Basics] Logical.js .......... Pass
[Basics] ParameterOrder.js .......... Pass
[Basics] Parameters.js .......... Pass
[Basics] StringCharCodeAt.js .......... Pass
[Basics] StringField.js .......... Pass
[Basics] StringFromCharCode.js .......... Pass
[Basics] StringSubstring.js .......... Pass
[Basics] switch.js .......... Fail
[Basics] Switch2.js .......... Pass
[Basics] typeof.js .......... Pass
[Basics] typeofcombi.js .......... Pass
[Basics] TypePromotion.js .......... Pass
[Basics] UndefinedVsNull.js .......... Pass
[Basics] With.js .......... Fail
[Basics] withBug940841.js .......... Pass
[Basics] withBug940841_2.js .......... Pass
[Basics] With2.js .......... Pass
[Basics] witheval.js .......... Pass
[Basics] TernaryOperator.js .......... Pass
[Basics] DeleteProperty1.js .......... Fail
[Basics] Accessors.js .......... Pass
[Basics] DefProp.js .......... Pass
[Basics] scopedaccessors.js .......... Fail
[Basics] flags.js .......... Fail
[Basics] Branching.js .......... Pass
[Basics] inlinecache.js .......... Pass
[Basics] scan.js .......... Fail
[Basics] enum.js .......... Fail
[Basics] with3.js .......... Pass
[Basics] Enumerator-deprecated.js .......... Fail
[Basics] Enumerator-WebViewHost.js .......... Fail
[Basics] cross_site_accessor_main.js .......... Fail
[Basics] bug650104.js .......... Fail
[Generated] mul.js .......... Pass
[Generated] mul0.js .......... Pass
[Generated] mul1.js .......... Pass
[Generated] mul2.js .......... Pass
[Generated] mul3.js .......... Pass
[Generated] div.js .......... Pass
[Generated] div0.js .......... Fail
[Generated] div1.js .......... Fail
[Generated] div2.js .......... Pass
[Generated] div3.js .......... Pass
[Generated] mod.js .......... Pass
[Generated] mod0.js .......... Pass
[Generated] mod1.js .......... Pass
[Generated] mod2.js .......... Pass
[Generated] mod3.js .......... Pass
[Generated] add.js .......... Pass
[Generated] add0.js .......... Pass
[Generated] add1.js .......... Pass
[Generated] add2.js .......... Pass
[Generated] add3.js .......... Pass
[Generated] sub.js .......... Pass
[Generated] sub0.js .......... Pass
[Generated] sub1.js .......... Pass
[Generated] sub2.js .......... Pass
[Generated] sub3.js .......... Pass
[Generated] lsh.js .......... Pass
[Generated] lsh0.js .......... Pass
[Generated] lsh1.js .......... Pass
[Generated] lsh2.js .......... Pass
[Generated] lsh3.js .......... Pass
[Generated] rsh.js .......... Pass
[Generated] rsh0.js .......... Pass
[Generated] rsh1.js .......... Pass
[Generated] rsh2.js .......... Pass
[Generated] rsh3.js .......... Pass
[Generated] rshu.js .......... Pass
[Generated] rshu0.js .......... Pass
[Generated] rshu1.js .......... Pass
[Generated] rshu2.js .......... Pass
[Generated] rshu3.js .......... Pass
[Generated] lt.js .......... Pass
[Generated] lt0.js .......... Pass
[Generated] lt1.js .......... Pass
[Generated] lt2.js .......... Pass
[Generated] lt3.js .......... Pass
[Generated] gt.js .......... Pass
[Generated] gt0.js .......... Pass
[Generated] gt1.js .......... Pass
[Generated] gt2.js .......... Pass
[Generated] gt3.js .......... Pass
[Generated] le.js .......... Pass
[Generated] le0.js .......... Pass
[Generated] le1.js .......... Pass
[Generated] le2.js .......... Pass
[Generated] le3.js .......... Pass
[Generated] ge.js .......... Pass
[Generated] ge0.js .......... Pass
[Generated] ge1.js .......... Pass
[Generated] ge2.js .......... Pass
[Generated] ge3.js .......... Pass
[Generated] eq.js .......... Pass
[Generated] eq0.js .......... Pass
[Generated] eq1.js .......... Pass
[Generated] eq2.js .......... Pass
[Generated] eq3.js .......... Pass
[Generated] ne.js .......... Pass
